City,State,Number of Killed,% of killed who carried gun,% of killed who were unarmed,% of killed who were race A,% of killed who were race B,% of killed who were race H,% of killed who were race N,% of killed who were race O,% of killed who had sign of mental illness,% of killed who were male,% of killed who attacked,% of killed whose threat undertermined,% of killed who were fleeing,% of killed whose killer had body camera on,% of killed age 10 and below,% of killed 30 and below,% of killed 50 and below
Pueblo,CO,18,0.666666667,0.055555556,0,0.055555556,0.611111111,0.055555556,0,0.055555556,0.944444444,0.777777778,0,0.555555556,0.166666667,0,0.333333333,1
Pulaski,VA,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Puna,HI,2,0.5,0,0,0,0,0,1,0,0.5,1,0,0.5,0,0,0.5,1
Putnam Hall,FL,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Puyallup,WA,2,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0,0,0.5,1
Quanah,TX,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Quartzsite,AZ,2,1,0,0,0,0.5,0,0,0,1,1,0,1,0,0,0,0.5
Queens,NY,3,1,0,0,0.666666667,0,0,0,0.333333333,1,1,0,0.333333333,0,0,0.333333333,1
Quincy,FL,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Quincy,IL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Quinlan,TX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Raceland,LA,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Racine,WI,2,0.5,0,0,1,0,0,0,0,1,0.5,0,1,0,0,1,1
Ragley,LA,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
Rainbow City,AL,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Raleigh,NC,5,0.6,0,0,0.8,0,0,0,0.2,1,1,0,0.8,0.2,0,0.8,1
Raleigh,TN,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1
Ramseur,NC,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Ranburne,AL,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Rancho Cordova,CA,3,0.333333333,0,0,0.666666667,0,0,0,1,1,0.666666667,0,0.666666667,0,0,0.666666667,1
Rancho Cucamonga,CA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rancho Mirage,CA,3,0.333333333,0,0,0,0.333333333,0,0,0.666666667,1,1,0,0,0.333333333,0,0,0.666666667
Rancho Santa Margarita,CA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Rancho Tehama Reserve,CA,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Randallstown,MD,2,0.5,0,0,1,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,1
Randolph County,IN,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Rangley,CO,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
Rantoul,IL,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
Rapid City,SD,6,0.833333333,0,0,0,0,0.166666667,0,0.5,1,1,0,0.166666667,0,0,0.333333333,1
Rapid Valley,SD,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Rawlins,WY,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Raytown,MO,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Reading,MA,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Reading,PA,2,0.5,0.5,0,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0.5
Reagan,TN,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
Rector,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Red Bluff,CA,4,0.75,0,0,0,0.5,0.25,0,0.5,1,0.75,0,0.25,0,0,0,1
Red Valley,AZ,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1
Redding,CA,12,0.583333333,0.083333333,0.166666667,0,0.083333333,0.083333333,0,0.416666667,0.75,0.583333333,0,0.333333333,0,0,0.166666667,0.916666667
Redford Township,MI,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Redlands,CA,4,0.5,0,0,0,0,0,0,0.25,1,0.75,0,0,0,0,0.5,1
Redmond,WA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Redondo Beach,CA,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1
Redwood City,CA,2,0.5,0,0,0,0.5,0,0,0.5,1,0.5,0,0,0,0,0,1
Refugio,TX,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Rehoboth Beach,DE,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Reisterstown,MD,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Reno,NV,10,0.4,0,0,0.1,0.6,0,0,0.2,1,0.6,0.1,0.5,0,0,0.6,0.9
Reno,TX,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Renton,WA,4,0.25,0,0,0.25,0,0,0,0.75,1,0.5,0,0,0,0,0.75,1
Republic,MO,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Reseda,CA,2,0.5,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0.5,1
Revere,MA,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
Rexburg,ID,2,0.5,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1
Reynoldsville,WV,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Rialto,CA,4,0.25,0,0,0,1,0,0,0,1,0.5,0,0,0.25,0,0.75,0.75
Rib Mountain,WI,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Richfield,MN,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
Richland,WA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Richlands,NC,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Richmond County,VA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Richmond Heights,OH,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
Richmond,CA,3,0.333333333,0,0.333333333,0,0.666666667,0,0,0,1,1,0,0.666666667,0.333333333,0,0.333333333,1
Richmond,KY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Richmond,VA,7,0.428571429,0.142857143,0,0.714285714,0,0,0,0.285714286,0.857142857,0.714285714,0,0.428571429,0.285714286,0,0.571428571,1
Richton Park,IL,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1
Ridgefield,WA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Riesel,TX,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Rifle,CO,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Rigby,ID,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Rincon,GA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Rio Bravo,TX,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
Rio Rico,AZ,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
Ripon,CA,2,0.5,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,1
Rising Sun,MD,2,0.5,0,0,0,0,0,0,1,0.5,1,0,0,0,0,0,1
Ritzville,WA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
River Forest,IL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Riverbank,CA,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Riverdale,GA,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Riverside,CA,6,0.5,0,0,0.166666667,0.333333333,0,0,0,1,0.5,0,0.166666667,0,0,0.166666667,0.833333333
Riverside,WA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Riverton,UT,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Riverton,WY,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
Riverview,FL,3,0.333333333,0.333333333,0,0,0.666666667,0,0,0.333333333,1,1,0,0.666666667,0.333333333,0,0.666666667,1
Roane County,WV,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roanoke,VA,4,0.75,0,0,0.5,0,0,0,0.25,1,0.5,0,0.5,0.25,0,0.75,1
Robbins,IL,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
Robbins,NC,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Robbinsdale,MN,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Rochester,NY,2,1,0,0,0.5,0,0,0,0.5,1,1,0,0.5,0,0,0,1
Rochester,WA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Rock Falls,IL,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Rock Island,IL,2,1,0,0,1,0,0,0,0,1,1,0,1,0.5,0,0.5,1
Rockford,IL,3,0.333333333,0,0,0.666666667,0,0,0,0.666666667,1,0.666666667,0.333333333,0.333333333,0,0,0,1
Rockledge,FL,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Rocklin,CA,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1
Rockville,GA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Rockville,MD,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Rockwall,TX,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
Rockwood,TN,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Rogers County,OK,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Roland,OK,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Romance,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Rome,OH,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Romulus,MI,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Ronda,NC,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Roosevelt,UT,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
Rosalia,KS,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
Rosamond,CA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Rose Bud,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Rosebud,SD,2,0.5,0,0,0,0,1,0,0,1,1,0,0.5,0.5,0,1,1
Rosedale,MD,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Rosemead,CA,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Rosenberg,TX,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Roseville,CA,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Roseville,MN,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1
Roslindale,MA,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
Ross Township,PA,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Rosser,TX,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Rossville,GA,3,1,0,0,0,0.333333333,0,0,0.666666667,1,1,0,0,0,0,0,0.333333333
Roswell,GA,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Roswell,NM,3,1,0,0,0,0,0,0,0.333333333,1,1,0,0,0.333333333,0,0,1
Rotterdam,NY,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1
Round Lake,IL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Round Rock,TX,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Rowe,NM,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1
Rowland Heights,CA,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
Rowland,NC,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Roxand Township,MI,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1
Roxboro,NC,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
Roy,UT,2,0.5,0,0,0,0.5,0,0,0,1,0.5,0,0,0.5,0,0,1
Royal Oak,MI,2,0,0.5,0,0,0,0,0,0,1,0.5,0,0.5,0,0,1,1
Rudioso,NM,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Rufe,OK,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Ruidoso,NM,3,0.666666667,0,0,0,0,0,0,0,1,0.333333333,0,0,0,0,0.666666667,1
Rush Springs,OK,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Rushville,NE,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Ruskin,FL,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Russellville,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Russellville,KY,2,0.5,0,0,0,0,0,0,0,1,0.5,0,0.5,0,0,0,1
Ruth,MS,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Rutherford County,NC,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Rutherfordton,NC,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Rutland,VT,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Sacramento,CA,18,0.444444444,0.111111111,0,0.555555556,0.111111111,0.055555556,0,0.388888889,1,0.666666667,0.055555556,0.444444444,0.388888889,0,0.277777778,1
Safety Harbor,FL,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Saginaw,MI,2,0,0.5,0,0,0,0,0.5,0,1,1,0,0,0,0,0,1
Saginaw,TX,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Salacoa,GA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Sale Creek,TN,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Salem,IN,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Salem,OR,5,0.8,0,0,0,0.2,0,0,0,1,0.6,0.2,0.4,0,0,0.4,1
Salemburg,NC,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Salina,KS,2,0.5,0,0,0,0,0,0,0,1,0.5,0,0.5,0,0,1,1
Salinas,CA,2,0.5,0,0,0,1,0,0,0,0.5,0,0,0,0.5,0,1,1
Salisbury,MD,2,1,0,0,0.5,0,0,0,0.5,1,1,0,0,0,0,0.5,1
Salisbury,NC,2,1,0,0,1,0,0,0,0,1,1,0,0.5,0,0,1,1
Sallisaw,OK,3,0.333333333,0.333333333,0,0,0,0.333333333,0,0,1,0.666666667,0,0,0,0,0.333333333,1
Salt Lake City,UT,15,0.533333333,0.066666667,0,0.133333333,0.2,0,0.066666667,0.133333333,1,0.4,0.066666667,0.6,0.533333333,0,0.333333333,1
Salt River Reservation,AZ,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
San Angelo,TX,5,0.8,0,0,0,0.6,0,0,0.2,1,0.6,0.2,0.4,0,0,0.4,1
San Antonio,TX,50,0.72,0.04,0,0.12,0.64,0,0,0.14,0.96,0.64,0.02,0.3,0.08,0,0.3,0.9
San Benito,TX,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
San Bernardino,CA,17,0.470588235,0,0.058823529,0.117647059,0.352941176,0,0.117647059,0.117647059,0.941176471,0.705882353,0.176470588,0.588235294,0,0,0.411764706,1
San Carlos Park,FL,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
San Clemente,CA,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1
San Diego County,CA,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
San Diego,CA,19,0.368421053,0.105263158,0.157894737,0.210526316,0.263157895,0,0.052631579,0.421052632,1,0.578947368,0,0.210526316,0.631578947,0,0.210526316,0.947368421
San Fernando,CA,2,0,0,0,0,0.5,0,0,0,1,0.5,0,0.5,0,0,0,1
San Francisco,CA,16,0.4375,0.125,0.0625,0.25,0.375,0,0,0.1875,0.875,0.4375,0,0.1875,0.25,0,0.6875,1
San Gabriel,CA,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
San Jose,CA,21,0.333333333,0.095238095,0.047619048,0.047619048,0.428571429,0,0,0.380952381,0.952380952,0.476190476,0,0.285714286,0.19047619,0,0.476190476,0.80952381
San Leandro,CA,4,0.5,0,0.25,0.25,0.25,0,0,0.5,1,0.5,0,0.25,0,0,0,1
San Manuel,AZ,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
San Marcos,CA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
San Marcos,TX,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
San Mateo,CA,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
San Rafael,NM,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
San Ysidro,CA,3,0.333333333,0.333333333,0,0,0.666666667,0,0,0.333333333,1,1,0,0.333333333,0.333333333,0,0.666666667,1
Sand City,CA,2,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,1
Sand Springs,OK,2,0.5,0,0,0,0,0,0,0.5,1,1,0,0.5,1,0,0,0.5
Sandia,TX,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Sandpoint,ID,2,1,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0.5,1
Sandy Springs,GA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Sandy,UT,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sanford,NC,2,0.5,0,0,0,0.5,0,0,0,1,0.5,0,0,0.5,0,0,0.5
Sanger,TX,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Santa Ana,CA,11,0.181818182,0.272727273,0,0,0.727272727,0,0,0.090909091,1,0.363636364,0.363636364,0.090909091,0,0,0.363636364,0.818181818
Santa Barbara,CA,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
Santa Clara,CA,3,0.666666667,0,0,0.333333333,0.333333333,0,0,0.333333333,1,0.666666667,0,0,0,0,0.666666667,1
Santa Clarita,CA,3,0.333333333,0,0,0,1,0,0,0,1,0.333333333,0,0,0,0,0.333333333,1
Santa Cruz,CA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Santa Fe Springs,CA,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
Santa Fe,NM,3,0.666666667,0,0,0,1,0,0,0.333333333,1,0.666666667,0,0.333333333,0.333333333,0,0.666666667,1
Santa Maria,CA,3,0.333333333,0,0,0,1,0,0,0.666666667,1,0.333333333,0,0,0,0,0.333333333,1
Santa Monica,CA,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1
Santa Nella,CA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Santa Paula,CA,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
Santa Rosa,CA,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
Santee,CA,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Sapulpa,OK,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Saraland,AL,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Sarasota,FL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Saratoga,CA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Savannah,GA,6,0.666666667,0.166666667,0,0.833333333,0,0,0,0,0.833333333,0.5,0,0.333333333,0.166666667,0,0.5,0.666666667
Scarbo,WV,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Schenectady,NY,2,1,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,1
Schertz,TX,2,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0.5,1,1
Schulter,OK,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Scott County,KY,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Scott County,VA,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Scottsdale,AZ,8,0.5,0,0,0.125,0,0,0,0.25,1,0.375,0,0.5,0.125,0,0.25,0.75
Scottsville,KY,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Seagoville,TX,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Searcy County,AR,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
Seaside,CA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Seaside,OR,2,1,0,0,0,0,0,0,0,1,0.5,0,0,1,0,0,1
Seattle,WA,15,0.4,0.066666667,0.133333333,0.4,0.066666667,0,0,0.2,0.933333333,0.6,0.066666667,0.466666667,0.533333333,0,0.266666667,0.866666667
Sebewaing,MI,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Sebring,FL,2,0.5,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0,0,0.5,1
Secaucus,NJ,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sedalia,CO,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
Sedalia,MO,2,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,1
Sedona,AZ,2,0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Selma,AL,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
Selma,CA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Seminole,TX,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Semmes,AL,2,0.5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.5
Seneca,SC,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Sevierville,TN,2,1,0,0,0,0,0,0,0,1,0,0,1,0.5,0,0.5,1
Seville,FL,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1
Seward,AK,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Seymour,IN,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Shafter,CA,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
Shakopee,MN,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Shaler Township,PA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Shallotte,NC,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Sharon,PA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Sharpsburg,KY,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Shawnee National Forest,IL,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Sheboygan,WI,2,0.5,0,0,0.5,0,0,0,0.5,1,0,0,0,0.5,0,0,1
Shelby Gap,KY,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Shelby Township,MI,2,0.5,0,0.5,0,0,0,0,0.5,1,0.5,0,0,0,0,0.5,1
Shelby,MT,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Shelby,NC,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1
Shelbyville,IN,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5
Shelbyville,KY,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Shelbyville,TN,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Shelbyville,TX,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Shelton,WA,2,0.5,0,0.5,0,0,0,0,0.5,0.5,1,0,0.5,0,0,0,1
Shepherdsville,KY,2,0.5,0,0,0,0,0,0,0.5,1,1,0,0.5,0,0,0.5,0.5
Sheridan,AR,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
Sherman Oaks,CA,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
Sherman,TX,2,0.5,0,0,0.5,0,0,0,0,1,1,0,0.5,0,0,0.5,0.5
Sherwood,OR,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Shirley,AR,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Shirley,NY,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Shoreline,WA,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Show Low,AZ,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Shreveport,LA,10,0.6,0.1,0,0.8,0,0,0,0.2,1,0.9,0,0.5,0,0,0.3,1
Sidney,NE,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Sierra Blanca,TX,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
Sierra Vista,AZ,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
Silsbee,TX,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Silver Spring,MD,4,0.25,0.25,0,0.75,0.25,0,0,0.5,1,0.25,0,0.25,0.5,0,0.5,1
Silver Springs,NV,2,0.5,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0.5,1
Silverton,OR,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
Simpsonsville,KY,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Simpsonville,SC,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Sims,AR,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Sioux City,IA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Sioux Falls,SD,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5
Siskiyou County,CA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Sissonville,WV,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Slidell,LA,2,0.5,0,0,0,0,0,0,0.5,1,1,0,0.5,0,0,0,1
Smartsville,CA,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
Smith County,TN,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Smithfield Township,PA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Smithville,MS,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
Smyrna,DE,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Smyrna,GA,2,0,0,0,0.5,0,0,0,0,1,0,0.5,0.5,0.5,0,0.5,1
Smyrna,ME,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Smyrna,TN,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sneads,FL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Snellville,GA,2,0.5,0,0,1,0,0,0,0,1,0.5,0,0.5,0,0,0.5,1
Snohomish,WA,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
Snyder,TX,2,0.5,0.5,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,1
Socorro,NM,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
Socorro,TX,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Soddy Daisy,TN,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
