,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_group,Year
33,2015-01-15,shot,gun,39.0,M,B,Aurora,CO,False,attack,no flee,False,True,30-40,2015
34,2015-01-15,shot,gun,24.0,M,W,Bloomington,MN,True,attack,no flee,False,True,20-30,2015
35,2015-01-15,shot,other,36.0,M,H,Fairfield,CA,True,other,no flee,False,True,30-40,2015
36,2015-01-15,shot,gun,33.0,M,W,Evangeline Parish,LA,False,attack,no flee,False,True,30-40,2015
37,2015-01-16,shot,gun,41.0,M,W,Mabank,TX,False,attack,flee,False,True,40-50,2015
38,2015-01-16,shot and Tasered,other,48.0,M,O,Fremont,CA,False,other,no flee,False,True,40-50,2015
39,2015-01-17,shot,gun,21.0,M,B,Muskogee,OK,False,attack,flee,True,True,20-30,2015
40,2015-01-17,shot,gun,24.0,M,H,Los Angeles,CA,False,attack,no flee,False,True,20-30,2015
41,2015-01-17,shot,other,27.0,M,H,Fort Worth,TX,False,attack,no flee,False,True,20-30,2015
42,2015-01-18,shot,gun,32.0,M,W,Maricopa,AZ,True,attack,no flee,False,True,30-40,2015
43,2015-01-18,shot and Tasered,gun,67.0,M,W,Gunlock,KY,True,attack,no flee,False,True,60-70,2015
44,2015-01-19,shot,other,49.0,M,W,Weymouth,MA,False,attack,no flee,False,True,40-50,2015
45,2015-01-20,shot,unknown,42.0,M,B,Scottsdale,AZ,False,other,flee,False,True,40-50,2015
46,2015-01-21,shot,gun,36.0,M,W,Hemet,CA,False,attack,no flee,False,True,30-40,2015
47,2015-01-21,shot,gun,36.0,M,H,Chapeno,TX,False,attack,flee,False,True,30-40,2015
48,2015-01-21,shot,gun,19.0,M,B,St. Louis,MO,False,attack,no flee,False,True,10-20,2015
49,2015-01-21,shot,gun,54.0,M,W,Derry,NH,True,attack,no flee,False,True,50-60,2015
50,2015-01-22,shot,other,25.0,M,B,Sierra Blanca,TX,False,attack,flee,False,True,20-30,2015
51,2015-01-22,shot and Tasered,other,17.0,F,W,Longview,TX,True,other,no flee,False,True,10-20,2015
52,2015-01-23,shot,unknown,29.0,M,B,Fort Lauderdale,FL,False,other,no flee,False,True,20-30,2015
53,2015-01-23,shot,other,56.0,M,H,Levelland,TX,False,other,no flee,False,True,50-60,2015
54,2015-01-23,shot,gun,61.0,M,W,Austin,TX,True,attack,no flee,False,True,60-70,2015
55,2015-01-24,shot,gun,45.0,M,W,Rexburg,ID,False,attack,no flee,False,True,40-50,2015
56,2015-01-24,shot,other,26.0,M,B,Baltimore,MD,True,other,no flee,False,True,20-30,2015
57,2015-01-24,shot,gun,40.0,M,W,Fort Worth,TX,False,attack,no flee,False,True,30-40,2015
58,2015-01-25,shot,gun,26.0,M,H,Pueblo,CO,False,attack,flee,False,True,20-30,2015
59,2015-01-25,shot,gun,59.0,M,,Winslow,NJ,False,attack,no flee,False,True,50-60,2015
60,2015-01-26,shot,other,17.0,F,H,Denver,CO,False,other,no flee,False,True,10-20,2015
61,2015-01-26,shot,gun,68.0,M,W,New Hope,MN,True,attack,no flee,False,True,60-70,2015
62,2015-01-26,shot,unarmed,24.0,M,H,Tahoka,TX,False,other,flee,False,True,20-30,2015
63,2015-01-26,shot,other,34.0,M,H,Wasco,CA,True,other,no flee,False,True,30-40,2015
64,2015-01-27,shot,other,39.0,F,W,Omaha,NE,True,attack,no flee,False,True,30-40,2015
65,2015-01-27,shot,unknown,26.0,M,N,Phoenix,AZ,False,other,no flee,False,True,20-30,2015
66,2015-01-27,shot,gun,29.0,M,W,Morenci,AZ,False,attack,no flee,False,True,20-30,2015
67,2015-01-27,shot,gun,33.0,M,B,Columbus,OH,False,attack,no flee,False,True,30-40,2015
68,2015-01-28,shot,gun,45.0,M,W,Sunset,TX,False,attack,no flee,False,True,40-50,2015
69,2015-01-28,shot,gun,26.0,M,W,Rosenberg,TX,False,attack,no flee,False,True,20-30,2015
70,2015-01-28,shot and Tasered,other,35.0,M,A,Stockton,CA,True,attack,no flee,False,True,30-40,2015
71,2015-01-29,shot,gun,31.0,M,W,Wyoming,MI,True,attack,no flee,False,True,30-40,2015
72,2015-01-29,shot,unarmed,42.0,M,W,Stillwater,OK,False,other,flee,False,True,40-50,2015
73,2015-01-30,shot,gun,48.0,M,W,Billings,MT,False,attack,flee,False,True,40-50,2015
74,2015-01-31,shot,gun,31.0,M,H,Houston,TX,False,attack,no flee,False,True,30-40,2015
75,2015-01-31,shot and Tasered,other,54.0,M,B,Randallstown,MD,True,other,no flee,False,True,50-60,2015
76,2015-02-02,shot,gun,42.0,M,W,Apple Valley,CA,True,attack,no flee,False,True,40-50,2015
77,2015-02-02,shot,gun,17.0,M,W,Bay City,MI,False,attack,no flee,False,True,10-20,2015
78,2015-02-02,shot and Tasered,unarmed,59.0,M,W,Hummelstown,PA,False,other,flee,False,True,50-60,2015
79,2015-02-03,shot,gun,23.0,M,B,St. Louis,MO,False,attack,flee,False,True,20-30,2015
80,2015-02-03,shot,gun,38.0,F,B,Emeryville,CA,False,attack,flee,False,True,30-40,2015
81,2015-02-03,shot,other,29.0,M,B,Antioch,CA,True,other,no flee,False,True,20-30,2015
82,2015-02-03,shot,gun,45.0,M,W,Douglas,GA,True,attack,no flee,False,True,40-50,2015
83,2015-02-04,shot,unarmed,28.0,M,B,Tallahassee,FL,False,attack,no flee,False,True,20-30,2015
84,2015-02-04,shot,gun,37.0,M,H,Orlando,FL,False,attack,no flee,False,True,30-40,2015
85,2015-02-04,shot,gun,28.0,M,H,Tempe,AZ,False,attack,flee,False,True,20-30,2015
86,2015-02-04,shot,unarmed,28.0,M,H,Tempe,AZ,False,other,no flee,False,True,20-30,2015
87,2015-02-04,shot,gun,51.0,M,B,Lorena,TX,False,attack,flee,False,True,50-60,2015
88,2015-02-04,shot,other,36.0,M,B,Memphis,TN,False,other,no flee,False,True,30-40,2015
89,2015-02-05,shot,other,59.0,M,W,Chino,CA,False,other,flee,False,True,50-60,2015
90,2015-02-06,shot,gun,25.0,M,B,Oklahoma City,OK,False,attack,no flee,False,True,20-30,2015
91,2015-02-07,shot,other,26.0,M,W,Calimesa,CA,False,attack,no flee,False,True,20-30,2015
92,2015-02-07,shot,gun,74.0,M,B,Gastonia,NC,False,attack,no flee,False,True,70-80,2015
93,2015-02-08,shot,gun,33.0,M,W,Anchorage,AK,False,attack,flee,False,True,30-40,2015
94,2015-02-08,shot,gun,27.0,M,W,Austin,TX,False,attack,no flee,False,True,20-30,2015
95,2015-02-08,shot,gun,57.0,M,W,New City,NY,True,attack,no flee,False,True,50-60,2015
96,2015-02-08,shot,gun,46.0,M,W,Orange County,FL,False,attack,no flee,False,True,40-50,2015
97,2015-02-08,shot,gun,41.0,M,W,Nocona,TX,False,attack,no flee,False,True,40-50,2015
98,2015-02-09,shot,gun,61.0,M,W,Smyrna,ME,True,undetermined,no flee,False,True,60-70,2015
99,2015-02-09,shot,gun,45.0,M,B,Dallas,TX,False,attack,no flee,False,True,40-50,2015
100,2015-02-10,shot,gun,49.0,M,B,Whitehaven,TN,False,attack,no flee,False,True,40-50,2015
101,2015-02-10,shot,gun,45.0,M,W,New Castle,CO,True,attack,flee,False,True,40-50,2015
102,2015-02-10,shot and Tasered,unarmed,35.0,M,H,Pasco,WA,True,other,flee,False,True,30-40,2015
103,2015-02-11,shot,other,23.0,M,B,San Jose,CA,True,other,no flee,False,True,20-30,2015
104,2015-02-11,shot,other,46.0,M,W,Dadeville,AL,True,attack,flee,True,True,40-50,2015
105,2015-02-13,shot,unknown,23.0,M,W,San Bernardino,CA,False,attack,flee,False,True,20-30,2015
106,2015-02-13,shot,gun,21.0,M,H,Kansas City,KS,False,attack,flee,False,True,20-30,2015
107,2015-02-13,shot,unarmed,35.0,M,H,Reading,PA,False,other,no flee,False,True,30-40,2015
108,2015-02-13,shot,gun,27.0,M,W,McLemoresville,TN,False,attack,no flee,False,True,20-30,2015
109,2015-02-13,shot,other,37.0,M,H,San Manuel,AZ,True,other,no flee,False,True,30-40,2015
110,2015-02-14,shot,gun,16.0,M,W,Essex,MD,True,attack,flee,False,True,10-20,2015
111,2015-02-14,shot,gun,51.0,M,W,Laredo,TX,False,attack,no flee,False,True,50-60,2015
112,2015-02-15,shot,gun,34.0,M,W,Iuka,MS,False,attack,flee,False,True,30-40,2015
113,2015-02-15,shot,other,34.0,M,W,Colton,OR,True,other,no flee,False,True,30-40,2015
114,2015-02-15,shot and Tasered,unarmed,25.0,M,B,Miami Gardens,FL,True,other,no flee,False,True,20-30,2015
115,2015-02-16,shot,gun,56.0,M,W,Marana,AZ,False,attack,no flee,False,True,50-60,2015
116,2015-02-16,shot,gun,26.0,M,W,Boise,ID,False,attack,no flee,False,True,20-30,2015
117,2015-02-16,shot,other,24.0,M,W,Provo,UT,True,attack,no flee,False,True,20-30,2015
118,2015-02-17,shot,gun,43.0,F,W,Gaston County,NC,False,attack,no flee,False,True,40-50,2015
119,2015-02-17,shot,unarmed,31.0,M,W,Springfield,MO,False,other,flee,False,True,30-40,2015
120,2015-02-17,shot,gun,32.0,M,W,Eaton Rapids Township,MI,False,attack,no flee,False,True,30-40,2015
121,2015-02-17,shot,other,30.0,M,W,Tewksbury,MA,False,attack,flee,False,True,20-30,2015
122,2015-02-17,shot,unknown,50.0,M,H,Del Rio,TX,False,other,no flee,False,True,40-50,2015
123,2015-02-18,shot,other,20.0,F,B,Charlotte,NC,True,other,no flee,False,True,10-20,2015
124,2015-02-20,shot,unarmed,31.0,M,H,Euless,TX,False,other,no flee,False,True,30-40,2015
125,2015-02-20,shot,gun,38.0,M,B,Homewood,AL,False,attack,no flee,False,True,30-40,2015
126,2015-02-20,shot,gun,77.0,M,B,Birmingham,AL,True,attack,no flee,False,True,70-80,2015
127,2015-02-20,shot,gun,,M,H,Houston,TX,False,attack,flee,False,True,,2015
128,2015-02-21,shot,gun,41.0,M,W,Ruidoso,NM,False,attack,no flee,False,True,40-50,2015
129,2015-02-21,shot,other,51.0,M,W,Indianapolis,IN,False,attack,no flee,False,True,50-60,2015
130,2015-02-22,shot,gun,50.0,M,W,Palm Bay,FL,False,attack,no flee,False,True,40-50,2015
131,2015-02-23,shot,gun,47.0,M,W,Denham Springs,LA,True,attack,no flee,False,True,40-50,2015
132,2015-02-23,shot,other,37.0,M,W,Powder Springs,GA,False,other,no flee,False,True,30-40,2015
133,2015-02-23,shot,gun,41.0,M,W,Clarkesville,GA,False,attack,flee,False,True,40-50,2015
134,2015-02-23,shot,gun,16.0,M,B,Millbrook,AL,False,attack,no flee,False,True,10-20,2015
135,2015-02-23,shot and Tasered,other,42.0,M,W,Allentown,PA,False,attack,flee,False,True,40-50,2015
136,2015-02-23,shot and Tasered,unarmed,39.0,M,W,Omaha,NE,False,other,no flee,False,True,30-40,2015
137,2015-02-24,shot and Tasered,other,30.0,M,W,Green Bay,WI,True,attack,no flee,False,True,20-30,2015
138,2015-02-25,shot,unknown,27.0,M,B,Oklahoma City,OK,False,other,flee,False,True,20-30,2015
139,2015-02-25,shot,gun,43.0,M,W,Las Vegas,NV,True,attack,no flee,False,True,40-50,2015
140,2015-02-26,shot,gun,42.0,M,H,Lakeland,FL,False,attack,flee,False,True,40-50,2015
141,2015-02-26,shot,other,21.0,M,H,San Francisco,CA,False,other,no flee,False,True,20-30,2015
142,2015-02-26,shot,unarmed,49.0,M,W,Gulfport,MS,False,other,no flee,False,True,40-50,2015
143,2015-02-26,shot,gun,34.0,F,W,Sylvester,GA,False,attack,flee,False,True,30-40,2015
144,2015-02-26,shot and Tasered,unarmed,31.0,M,W,Terre Haute,IN,False,other,no flee,False,True,30-40,2015
145,2015-02-27,shot,unarmed,27.0,M,H,Santa Ana,CA,False,undetermined,no flee,False,True,20-30,2015
146,2015-02-28,shot,gun,24.0,M,W,Pelzer,SC,False,attack,no flee,False,True,20-30,2015
147,2015-02-28,shot,unarmed,34.0,M,B,St Louis,MO,False,other,flee,False,True,30-40,2015
148,2015-02-28,shot,other,28.0,F,H,Tucson,AZ,False,other,no flee,False,True,20-30,2015
149,2015-02-28,shot,gun,28.0,M,B,Columbia,MO,False,attack,flee,False,True,20-30,2015
150,2015-02-28,shot,gun,40.0,M,B,Tarboro,NC,True,attack,flee,False,True,30-40,2015
151,2015-02-28,shot,gun,37.0,F,W,La Paz County,AZ,False,attack,flee,False,True,30-40,2015
152,2015-02-28,shot and Tasered,unarmed,17.0,M,W,Roxand Township,MI,False,attack,no flee,True,True,10-20,2015
153,2015-03-01,shot,gun,35.0,M,A,Houston,TX,False,attack,no flee,False,True,30-40,2015
154,2015-03-01,shot,gun,49.0,M,W,Barton,MS,False,attack,no flee,False,True,40-50,2015
155,2015-03-01,shot and Tasered,unarmed,43.0,M,B,Los Angeles,CA,True,attack,no flee,True,True,40-50,2015
156,2015-03-02,shot,gun,20.0,M,B,Joilet,IL,False,other,flee,False,True,10-20,2015
157,2015-03-03,shot,gun,25.0,M,B,Salisbury,MD,False,attack,no flee,False,True,20-30,2015
158,2015-03-03,shot,other,25.0,M,W,Tempe,AZ,False,attack,no flee,False,True,20-30,2015
159,2015-03-04,shot,unarmed,26.0,M,W,Deltona,FL,False,other,no flee,False,True,20-30,2015
160,2015-03-04,shot,gun,28.0,M,A,Stockton,CA,False,attack,no flee,False,True,20-30,2015
161,2015-03-05,shot,other,45.0,M,B,Milwaukee,WI,True,other,no flee,False,True,40-50,2015
162,2015-03-05,shot,unarmed,36.0,M,H,Burbank,CA,False,other,flee,False,True,30-40,2015
163,2015-03-05,shot,gun,34.0,M,W,Lincoln,NE,False,attack,no flee,False,True,30-40,2015
164,2015-03-06,shot,unarmed,19.0,M,B,Madison,WI,False,attack,flee,False,True,10-20,2015
165,2015-03-06,shot,unarmed,37.0,M,B,Aurora,CO,False,undetermined,flee,False,True,30-40,2015
166,2015-03-06,shot,unknown,48.0,M,B,Putnam Hall,FL,False,other,no flee,False,True,40-50,2015
167,2015-03-07,shot,gun,29.0,M,W,Phoenix,AZ,False,attack,no flee,False,True,20-30,2015
168,2015-03-08,shot,other,43.0,F,B,Anaheim,CA,True,other,no flee,True,True,40-50,2015
169,2015-03-08,shot,gun,40.0,M,H,Oklahoma City,OK,False,attack,no flee,False,True,30-40,2015
170,2015-03-08,shot,unknown,35.0,M,W,Claymont,DE,False,attack,flee,False,True,30-40,2015
171,2015-03-09,shot,unarmed,27.0,M,B,Atlanta,GA,True,other,no flee,False,True,20-30,2015
172,2015-03-09,shot,gun,58.0,M,W,Brevard,NC,False,attack,no flee,False,True,50-60,2015
173,2015-03-09,shot,gun,46.0,M,W,Dinosaur,CO,False,attack,no flee,False,True,40-50,2015
174,2015-03-09,shot,gun,30.0,M,B,Cocoa,FL,False,attack,no flee,False,True,20-30,2015
175,2015-03-10,shot,gun,64.0,M,B,Cleveland,OH,False,attack,no flee,True,True,60-70,2015
176,2015-03-10,shot,gun,31.0,M,B,Baton Rouge,LA,False,attack,no flee,False,True,30-40,2015
177,2015-03-10,shot,other,23.0,M,W,Port Wentworth,GA,False,attack,no flee,True,True,20-30,2015
178,2015-03-10,shot,other,37.0,M,H,Ontario,CA,True,other,flee,False,True,30-40,2015
179,2015-03-11,shot,unknown,37.0,M,B,Elkton,MD,False,other,no flee,False,True,30-40,2015
180,2015-03-11,shot,gun,31.0,M,W,Memphis,TN,True,attack,no flee,False,True,30-40,2015
181,2015-03-11,shot,gun,39.0,M,H,Santa Ana,CA,False,attack,no flee,False,True,30-40,2015
182,2015-03-11,shot,other,31.0,M,W,Kingman,AZ,True,attack,no flee,False,True,30-40,2015
183,2015-03-11,shot,gun,54.0,M,W,Bay Minette,AL,False,attack,no flee,False,True,50-60,2015
184,2015-03-11,shot,gun,53.0,M,W,Hoover,AL,True,attack,no flee,False,True,50-60,2015
185,2015-03-11,shot,unknown,25.0,M,H,Los Angeles,CA,False,other,no flee,False,True,20-30,2015
186,2015-03-12,shot,unarmed,35.0,M,B,Washington,DC,True,other,no flee,False,True,30-40,2015
187,2015-03-13,shot,gun,41.0,M,H,Napa,CA,False,other,flee,False,True,40-50,2015
188,2015-03-13,shot,gun,59.0,M,W,Kansas City,MO,False,attack,no flee,False,True,50-60,2015
189,2015-03-13,shot,other,36.0,M,W,Fontana,CA,False,attack,no flee,False,True,30-40,2015
190,2015-03-13,shot,unarmed,32.0,M,H,Walnut Creek,CA,False,other,flee,False,True,30-40,2015
191,2015-03-14,shot,other,53.0,M,W,Follansbee,WV,False,other,no flee,False,True,50-60,2015
192,2015-03-14,shot,gun,26.0,M,W,Kenosha,WI,False,attack,flee,False,True,20-30,2015
193,2015-03-14,shot,gun,29.0,M,H,San Antonio,TX,True,attack,no flee,False,True,20-30,2015
194,2015-03-15,shot,other,27.0,M,W,Ruth,MS,False,other,no flee,False,True,20-30,2015
195,2015-03-16,shot,gun,28.0,M,W,St. Paul,MN,True,attack,no flee,False,True,20-30,2015
196,2015-03-16,shot,gun,52.0,M,W,Gastonia,NC,True,attack,no flee,False,True,50-60,2015
197,2015-03-17,shot,gun,49.0,M,W,Medford,OR,True,attack,no flee,False,True,40-50,2015
198,2015-03-17,shot,gun,24.0,M,W,Dublin,NC,False,attack,flee,False,True,20-30,2015
199,2015-03-17,shot,other,24.0,F,W,San Francisco,CA,True,other,no flee,False,True,20-30,2015
200,2015-03-17,shot,gun,20.0,M,W,Onalaska,TX,True,attack,no flee,False,True,10-20,2015
201,2015-03-17,shot,unarmed,22.0,M,H,Sacramento,CA,False,undetermined,flee,False,True,20-30,2015
202,2015-03-18,shot,gun,49.0,F,W,Glendale,AZ,False,attack,no flee,False,True,40-50,2015
203,2015-03-18,shot,gun,64.0,M,W,Tallahassee,FL,False,attack,no flee,False,True,60-70,2015
204,2015-03-18,shot,other,47.0,M,W,Bakersfield,CA,False,other,no flee,False,True,40-50,2015
205,2015-03-19,shot,other,39.0,M,W,Lawrence County,AL,True,other,no flee,True,True,30-40,2015
206,2015-03-19,shot,unarmed,18.0,M,B,Cleveland,OH,False,attack,no flee,False,True,10-20,2015
207,2015-03-19,shot,gun,31.0,M,W,Middleton,ID,False,attack,no flee,True,True,30-40,2015
208,2015-03-19,shot,gun,16.0,M,B,Jacksonville,FL,False,attack,flee,False,True,10-20,2015
209,2015-03-19,shot,unarmed,20.0,M,W,Sumas,WA,True,attack,no flee,False,True,10-20,2015
210,2015-03-19,shot,gun,36.0,M,W,Bakersfield,CA,False,attack,no flee,False,True,30-40,2015
211,2015-03-20,shot,other,63.0,M,B,New Orleans,LA,True,attack,no flee,False,True,60-70,2015
212,2015-03-20,shot,gun,34.0,M,W,Coal County,OK,False,attack,no flee,False,True,30-40,2015
213,2015-03-20,shot,gun,24.0,M,N,Red Valley,AZ,False,attack,flee,False,True,20-30,2015
214,2015-03-21,shot,gun,21.0,M,W,Cottonwood,AZ,False,attack,no flee,False,True,20-30,2015
215,2015-03-21,shot,gun,44.0,M,W,Clarendon,NY,False,attack,flee,False,True,40-50,2015
216,2015-03-21,shot,gun,60.0,M,W,Harmony,IN,True,attack,no flee,False,True,50-60,2015
217,2015-03-21,shot,gun,42.0,M,W,Columbus,OH,False,attack,no flee,False,True,40-50,2015
218,2015-03-22,shot,other,37.0,M,W,Vallejo,CA,True,other,no flee,False,True,30-40,2015
219,2015-03-22,shot and Tasered,other,36.0,M,W,Portland,OR,True,other,flee,False,True,30-40,2015
220,2015-03-22,shot and Tasered,other,21.0,M,B,Islip,NY,False,attack,flee,False,True,20-30,2015
221,2015-03-23,shot,gun,24.0,M,B,Santa Clara,CA,False,attack,no flee,False,True,20-30,2015
222,2015-03-24,shot,gun,29.0,M,B,Portsmouth,VA,True,attack,flee,False,True,20-30,2015
223,2015-03-24,shot,gun,57.0,M,W,San Jose,CA,True,attack,no flee,False,True,50-60,2015
224,2015-03-24,shot,gun,38.0,M,W,Fond du Lac,WI,False,attack,no flee,False,True,30-40,2015
225,2015-03-25,shot,other,23.0,M,B,Smyrna,GA,False,other,flee,True,True,20-30,2015
226,2015-03-25,shot,gun,27.0,M,B,Johnsonville,SC,False,attack,flee,False,True,20-30,2015
227,2015-03-25,shot,gun,28.0,M,H,South Los Angeles,CA,False,attack,flee,False,True,20-30,2015
228,2015-03-25,shot and Tasered,gun,63.0,M,W,Glendale,AZ,True,other,no flee,False,True,60-70,2015
229,2015-03-26,shot,gun,53.0,F,W,Gardner,KS,False,attack,no flee,False,True,50-60,2015
230,2015-03-26,shot,other,35.0,M,H,Wilmington,CA,True,other,no flee,False,True,30-40,2015
231,2015-03-27,shot,other,26.0,F,B,Oxnard,CA,False,other,no flee,False,True,20-30,2015
232,2015-03-27,shot,gun,42.0,M,W,Fort Ashby,WV,False,attack,flee,False,True,40-50,2015
233,2015-03-27,shot,gun,41.0,M,B,Boston,MA,False,attack,no flee,False,True,40-50,2015
234,2015-03-27,shot,gun,56.0,M,W,Encinitas,CA,True,attack,no flee,False,True,50-60,2015
235,2015-03-27,shot,other,39.0,M,B,Fort Pierce,FL,False,other,no flee,False,True,30-40,2015
236,2015-03-27,shot,other,23.0,M,H,Bakersfield,CA,False,attack,flee,False,True,20-30,2015
237,2015-03-27,shot,gun,40.0,M,W,Webster,MA,False,attack,flee,False,True,30-40,2015
238,2015-03-29,shot,gun,29.0,M,B,Elizabethtown,KY,False,attack,no flee,False,True,20-30,2015
239,2015-03-29,shot,unknown,26.0,M,W,Jasper,OH,False,attack,flee,False,True,20-30,2015
240,2015-03-30,shot,gun,54.0,M,,Boulder City,NV,False,attack,no flee,False,True,50-60,2015
241,2015-03-30,shot,gun,49.0,M,W,Eugene,OR,True,attack,no flee,False,True,40-50,2015
242,2015-03-31,shot,gun,36.0,M,W,Carollwood,FL,False,attack,no flee,False,True,30-40,2015
243,2015-03-31,shot,other,21.0,M,H,Baytown,TX,False,attack,no flee,False,True,20-30,2015
244,2015-03-31,shot,other,27.0,F,B,Fort Meade,MD,False,other,flee,False,True,20-30,2015
245,2015-04-01,shot,gun,37.0,M,B,Hawthorne,CA,False,attack,no flee,False,True,30-40,2015
246,2015-04-01,shot,other,36.0,M,W,Hamilton,NJ,False,attack,no flee,False,True,30-40,2015
247,2015-04-02,shot,gun,32.0,M,B,Rock Island,IL,False,attack,flee,False,True,30-40,2015
248,2015-04-02,shot,unarmed,44.0,M,B,Tulsa,OK,False,other,no flee,False,True,40-50,2015
249,2015-04-02,shot,gun,27.0,M,W,Pineville,LA,True,attack,no flee,False,True,20-30,2015
250,2015-04-02,shot and Tasered,gun,63.0,M,W,Metropolis,IL,True,attack,no flee,False,True,60-70,2015
251,2015-04-03,shot,other,38.0,M,W,Winchester,VA,False,other,no flee,True,True,30-40,2015
252,2015-04-04,shot,gun,17.0,M,B,Zion,IL,False,attack,flee,False,True,10-20,2015
253,2015-04-04,shot,gun,31.0,M,B,Orange,CA,False,attack,no flee,True,True,30-40,2015
254,2015-04-04,shot,gun,34.0,M,W,Edgewood,NM,True,attack,flee,False,True,30-40,2015
255,2015-04-04,shot and Tasered,unarmed,50.0,M,B,North Charleston,SC,False,other,flee,False,True,40-50,2015
256,2015-04-05,shot,other,51.0,M,W,Phoenix,AZ,True,other,no flee,False,True,50-60,2015
257,2015-04-05,shot,gun,56.0,M,W,Tehachapi,CA,False,attack,no flee,False,True,50-60,2015
258,2015-04-06,shot,gun,23.0,M,W,Indianapolis,IN,True,attack,no flee,False,True,20-30,2015
259,2015-04-06,shot,gun,25.0,M,B,Harvey,LA,False,attack,flee,False,True,20-30,2015
260,2015-04-06,shot,gun,31.0,M,W,Jefferson County,ID,False,attack,flee,False,True,30-40,2015
261,2015-04-07,shot,gun,32.0,M,W,Pottawatomie County,OK,False,attack,flee,False,True,30-40,2015
262,2015-04-08,shot,gun,60.0,M,W,San Antonio,TX,False,attack,flee,False,True,50-60,2015
263,2015-04-08,shot,unknown,42.0,M,B,Valdosta,GA,False,attack,flee,False,True,40-50,2015
264,2015-04-08,shot,gun,39.0,M,H,Los Angeles,CA,False,attack,flee,False,True,30-40,2015
265,2015-04-08,shot,other,28.0,M,A,Sunnyvale,CA,True,other,no flee,False,True,20-30,2015
266,2015-04-09,shot,other,22.0,M,W,Navarre,FL,False,attack,no flee,False,True,20-30,2015
